"stock","ridge","lasso","en1","en2","adlasso","ridge_dcsis","lasso_dcsis","en1_dcsis","en2_dcsis","adlasso_dcsis"
"ZIMMER BIOMET HDG.",0.00161930226131561,0.00151468271449666,0.00150823457744092,0.00150893705162985,0.00105078812507964,0.00244814022200155,0.000651494354908738,0.000709016844282913,0.000745065780876277,0.00150801469600758
"ALIGN TECHNOLOGY",0,0,0,0,0,NA,NA,NA,NA,NA
"AMERICAN WATER WORKS",0.00458862553321676,0.00616084953890903,0.00616238935537874,0.00616082915592169,0.00936729804630502,0.00455440704525823,0,0,0,0.00391141295828274
"APTIV",0,0,0,0,0,NA,NA,NA,NA,NA
"AXON ENTERPRISE",0,0,0,0,0,NA,NA,NA,NA,NA
"BALL",0,0,0,0,0,0.00296930392069519,0.00461462851507354,0.00462307467478125,0.00456528664740494,0.00236112180731556
"BAXTER INTL.",0,0,0,0,0,NA,NA,NA,NA,NA
"BEST BUY",0,0,0,0,0,0.0028622674172627,0.00271717071613559,0.00276004969538041,0.00276918918440019,0.00234545032461612
"BROADRIDGE FINL.SLTN.",0,0,0,0,0,0.0033073690416619,0.000721220900964182,0.000830454563639997,0.000854859449020553,0.00180712820562827
"BROWN & BROWN",0.00104812554069903,0,0,0,0,NA,NA,NA,NA,NA
"BUILDERS FIRSTSOURCE",0,0,0,0,0,NA,NA,NA,NA,NA
"CBOE GLOBAL MARKETS(BTS)",0,0,0,0,0,NA,NA,NA,NA,NA
"CF INDUSTRIES HDG.",0,0,0,0,0,NA,NA,NA,NA,NA
"DARDEN RESTAURANTS",0,0,0,0,0,0,0,0,0,0
"DOVER",0.00419547319805102,0.00467134958027599,0.00466417667726775,0.00466741976974032,0.00558347058852029,NA,NA,NA,NA,NA
"DTE ENERGY",0,0,0,0,0,NA,NA,NA,NA,NA
"ENPHASE ENERGY",0,0,0,0,0,NA,NA,NA,NA,NA
"ENTERGY",0.00266144599627208,0.00252504042072271,0.00252379142620157,0.00253400550460742,0.00167607875618601,NA,NA,NA,NA,NA
"EQT",0.0024087850715657,0.00289153760377961,0.00288532185072668,0.0028837165705766,0.00283282755767397,NA,NA,NA,NA,NA
"EQUITY RESD.TST.PROPS. SHBI",0.000457613584360516,0,0,0,0,NA,NA,NA,NA,NA
"FIRSTENERGY",0,0,0,0,0,0.00287986175211039,0.00159142155899161,0.00165073267757116,0.00173760475814599,0
"FLEETCOR TECHNOLOGIES",0.00083253116085117,0.000872052512177056,0.000861487333154507,0.000860666863867318,0,0.00142711353573307,0,0,0,0
"GENUINE PARTS",0.00539328939603143,0.00613373736335461,0.00613966880346832,0.00612108832162917,0.00820095288937189,0.0032531645672936,0.00571912915378503,0.00570681547927437,0.00572050454974577,0.00202231321686751
"HEWLETT PACKARD ENTER.",0,0,0,0,0,0.0077245669283962,0.00650877041370946,0.00641470152052016,0.00639294787543582,0.00905850222491403
"HUBBELL",0.00254922729299603,0.00151244071591979,0.00151593866783399,0.00151503730378754,0.000646427486662045,NA,NA,NA,NA,NA
"HUNT JB TRANSPORT SVS.",0.000506013991874576,0.000863534898074154,0.000862148410501459,0.000864445781208442,0,0,0,0,0,0
"ILLUMINA",0,0,0,0,0,NA,NA,NA,NA,NA
"INTL.FLAVORS & FRAG.",0,0,0,0,0,0,0,0,0,0
"LIVE NATION ENTM.",0,0,0,0,0,NA,NA,NA,NA,NA
"MOLINA HEALTHCARE",0,0,0,0,0,0.00240934020016476,0.0013270345325267,0.0013438277011885,0.00131391807920348,0.00348050324058498
"NETAPP",0,0,0,0,0,NA,NA,NA,NA,NA
"NVR",0,0,0,0,0,NA,NA,NA,NA,NA
"PPL",0,0,0,0,0,NA,NA,NA,NA,NA
"PULTEGROUP",0.00235418700042334,0.00285360218475687,0.00285152989026603,0.00285709270500911,0.00446017266328357,0.00520786778877211,0.00520462783383588,0.00508976118781545,0.00505321775881214,0.00621310550969028
"ROLLINS",0,0,0,0,0,NA,NA,NA,NA,NA
"SBA COMMS.",0.00153126956422567,0.00253761066234573,0.00252997479043079,0.00254044434809724,0,NA,NA,NA,NA,NA
"SOUTHWEST AIRLINES",0,0,0,0,0,0.00258716501508063,NA,NA,NA,0.00307826508516813
"STEEL DYNAMICS",0,0,0,0,0,0,0,0,0,0
"STERIS",0,0,0,0,0,NA,NA,NA,NA,NA
"TAKE TWO INTACT.SFTW.",0,0,0,0,0,NA,NA,NA,NA,NA
"TARGA RESOURCES",0,0,0,0,0,0.00161440795458422,0,0,0,0
"TELEDYNE TECHS.",0,0,0,0,0,0,0.00146648558676294,0.00144787750752876,0.00147368202418389,0
"VERISIGN",0,0,0,0,0,NA,NA,NA,NA,NA
"W R BERKLEY",0,0,0,0,0,NA,NA,NA,NA,NA
"WARNER BROS DISCOVERY SERIES A",0.0014566928991304,0.00124525164870653,0.00124504756989503,0.00124289923364597,0.000477436576577428,0.00586323141675955,0.00581770061446214,0.005804187722577,0.00576005548663099,0.00645730213809408
"WATERS",0,0,0,0,0,NA,NA,NA,NA,NA
"WESTERN DIGITAL",0,0,0,0,0,0,0,0,0,0
"AKAMAI TECHS.",0,0,0,0,0,NA,NA,NA,NA,NA
"AMEREN",0,0,0,0,0,NA,NA,NA,NA,NA
"ATMOS ENERGY",0.00141694945105456,0.00206185336163736,0.00205872506337524,0.00205475506339446,0,0.00353043830529904,0.0068416471843861,0.00674983082966342,0.00660518081579596,0.00433584600742258
"AVERY DENNISON",0.00101689606627231,0.000425226072615014,0.000425995806623606,0.000432538937503144,0,NA,NA,NA,NA,NA
"BROWN-FORMAN 'B'",0,0,0,0,0,0.00188135461944273,0.00303188363028781,0.0031691421066344,0.00319632412711911,0
"CELANESE",0,0,0,0,0,NA,NA,NA,NA,NA
"CENTERPOINT EN.",0,0,0,0,0,NA,NA,NA,NA,NA
"CINCINNATI FINL.",0,0,0,0,0,0,0,0,0,0
"CITIZENS FINANCIAL GROUP",0,0,0,0,0,NA,NA,NA,NA,NA
"CLOROX",0.00577613402614943,0.00513769923177379,0.00513165505095201,0.0051350487157554,0.00657164902857078,NA,NA,NA,NA,NA
"CMS ENERGY",0,0,0,0,0,NA,NA,NA,NA,NA
"COTERRA ENERGY",0.00295507747546975,0.00248382307460998,0.00248491525252793,0.00248747974412167,0.0028069690056826,NA,NA,NA,NA,NA
"DOMINO'S PIZZA",0,0,0,0,0,0.00137208502618435,0,0,0,0
"EPAM SYSTEMS",0,0,0,0,0,NA,NA,NA,NA,NA
"ESSEX PROPERTY TST.",0.00449922621527981,0.00504690917346932,0.00504047323135694,0.0050267614569643,0.00882649366573972,NA,NA,NA,NA,NA
"EVEREST GROUP",0,0,0,0,0,NA,NA,NA,NA,NA
"EXPEDIA GROUP",0,0,0,0,0,0.00206857643368937,0.0030997801629095,0.00297848226681835,0.00290754412735545,0.00133219095580388
"EXPEDITORS INTL.OF WASH.",0,0,0,0,0,0.00222561525483371,0.00185855106614673,0.00179736115453023,0.00177305273532154,7.84730940869083e-05
"FACTSET RESEARCH SYS.",0,0,0,0,0,NA,NA,NA,NA,NA
"FIRST SOLAR",0.000524712397127216,0.000490557557563248,0.000485242491367564,0.000485760271368855,0,0.000177187590243313,0,0,0,0
"GEN DIGITAL",0,0,0,0,0,0.00247394806273165,0.00103108755667898,0.00108900240051623,0.00111453741388335,0.00110037699587316
"HOLOGIC",0,0,0,0,0,NA,NA,NA,NA,NA
"HORMEL FOODS",0,0,0,0,0,NA,NA,NA,NA,NA
"HUNTINGTON BCSH.",0,0,0,0,0,0,0,0,0,0
"IDEX",0,0,0,0,0,0,0,0,0,0
"JABIL",0.000199633663577551,0,0,0,0,0.00248755678183568,0.000723576652455499,0.000679395043068475,0.000689468186774138,0.00281397551676459
"JACOBS SOLUTIONS",0,0,0,0,0,NA,NA,NA,NA,NA
"KELLANOVA",0,0,0,0,0,0.00121267407339321,0.00350801795420815,0.00335958354711905,0.00330629932464117,0
"LABORATORY CORP.OF AM. HDG.",0,0,0,0,0,0.00512552830947331,0.00320495695949554,0.00337455637201983,0.00346071770423381,0.0048823313433584
"LEIDOS HOLDINGS",0,0,0,0,0,0,0,0,0,0
